participant,block,trials,c_elastic,c_inelastic,total_actions,trial_reward,ss_transition,num_tries,rewarded,Reward
10,1,0,0.34,0.33,3,150,0,3,1,1
10,1,1,0.34,0.33,3,150,0,3,1,1
10,1,2,0.34,0.33,3,0,0,3,0,0
10,1,3,0.34,0.33,3,150,0,3,1,1
10,1,4,0.34,0.33,3,150,1,3,1,1
10,1,5,0.34,0.33,0,0,0,0,0,0
10,1,6,0.34,0.33,0,0,0,0,0,0
10,1,7,0.34,0.33,1,0,0,1,0,0
10,1,8,0.34,0.33,3,150,0,3,1,1
10,1,9,0.34,0.33,0,150,1,0,1,1
10,1,10,0.34,0.33,0,0,0,0,0,0
10,1,11,0.34,0.33,2,150,0,2,1,1
10,1,12,0.34,0.33,2,150,0,2,1,1
10,1,13,0.34,0.33,2,150,1,2,1,1
10,1,14,0.34,0.33,2,150,0,2,1,1
10,1,15,0.34,0.33,2,0,0,2,0,0
10,1,16,0.34,0.33,2,0,0,2,0,0
10,1,17,0.34,0.33,0,0,0,0,0,0
10,1,18,0.34,0.33,0,150,1,0,1,1
10,1,19,0.34,0.33,1,0,0,1,0,0
10,1,20,0.34,0.33,2,150,0,2,1,1
10,1,21,0.34,0.33,2,0,0,2,0,0
10,1,22,0.34,0.33,2,150,1,2,1,1
10,1,23,0.34,0.33,0,0,0,0,0,0
10,1,24,0.34,0.33,2,0,0,2,0,0
10,1,25,0.34,0.33,2,0,0,2,0,0
10,1,26,0.34,0.33,2,150,0,2,1,1
10,1,27,0.34,0.33,0,0,0,0,0,0
10,1,28,0.34,0.33,0,0,0,0,0,0
10,1,29,0.34,0.33,0,150,1,0,1,1
10,2,0,0.4,0.6,3,150,0,3,1,1
10,2,1,0.4,0.6,3,150,0,3,1,1
10,2,2,0.4,0.6,3,150,0,3,1,1
10,2,3,0.4,0.6,3,150,0,3,1,1
10,2,4,0.4,0.6,3,150,1,3,1,1
10,2,5,0.4,0.6,0,0,0,0,0,0
10,2,6,0.4,0.6,1,0,0,1,0,0
10,2,7,0.4,0.6,2,150,1,2,1,1
10,2,8,0.4,0.6,2,150,0,2,1,1
10,2,9,0.4,0.6,2,150,0,2,1,1
10,2,10,0.4,0.6,2,0,0,2,0,0
10,2,11,0.4,0.6,2,150,0,2,1,1
10,2,12,0.4,0.6,2,150,0,2,1,1
10,2,13,0.4,0.6,2,150,0,2,1,1
10,2,14,0.4,0.6,2,150,1,2,1,1
10,2,15,0.4,0.6,2,150,0,2,1,1
10,2,16,0.4,0.6,2,0,0,2,0,0
10,2,17,0.4,0.6,2,150,1,2,1,1
10,2,18,0.4,0.6,2,150,0,2,1,1
10,2,19,0.4,0.6,2,150,0,2,1,1
10,2,20,0.4,0.6,2,0,0,2,0,0
10,2,21,0.4,0.6,2,150,0,2,1,1
10,2,22,0.4,0.6,2,150,1,2,1,1
10,2,23,0.4,0.6,2,150,0,2,1,1
10,2,24,0.4,0.6,2,150,0,2,1,1
10,2,25,0.4,0.6,2,150,0,2,1,1
10,2,26,0.4,0.6,2,150,0,2,1,1
10,2,27,0.4,0.6,2,150,0,2,1,1
10,2,28,0.4,0.6,2,150,0,2,1,1
10,2,29,0.4,0.6,1,150,1,1,1,1
10,3,0,0.2,0.6,3,150,1,3,1,1
10,3,1,0.2,0.6,3,150,0,3,1,1
10,3,2,0.2,0.6,3,150,0,3,1,1
10,3,3,0.2,0.6,3,150,0,3,1,1
10,3,4,0.2,0.6,3,0,0,3,0,0
10,3,5,0.2,0.6,0,0,0,0,0,0
10,3,6,0.2,0.6,1,150,1,1,1,1
10,3,7,0.2,0.6,1,0,0,1,0,0
10,3,8,0.2,0.6,1,150,0,1,1,1
10,3,9,0.2,0.6,1,150,0,1,1,1
10,3,10,0.2,0.6,1,0,0,1,0,0
10,3,11,0.2,0.6,1,150,0,1,1,1
10,3,12,0.2,0.6,1,150,0,1,1,1
10,3,13,0.2,0.6,1,150,1,1,1,1
10,3,14,0.2,0.6,1,0,0,1,0,0
10,3,15,0.2,0.6,1,0,0,1,0,0
10,3,16,0.2,0.6,1,150,0,1,1,1
10,3,17,0.2,0.6,1,150,0,1,1,1
10,3,18,0.2,0.6,1,150,1,1,1,1
10,3,19,0.2,0.6,1,150,0,1,1,1
10,3,20,0.2,0.6,1,150,1,1,1,1
10,3,21,0.2,0.6,1,150,0,1,1,1
10,3,22,0.2,0.6,1,0,0,1,0,0
10,3,23,0.2,0.6,1,150,0,1,1,1
10,3,24,0.2,0.6,1,0,0,1,0,0
10,3,25,0.2,0.6,1,150,0,1,1,1
10,3,26,0.2,0.6,1,0,0,1,0,0
10,3,27,0.2,0.6,1,150,0,1,1,1
10,3,28,0.2,0.6,1,150,1,1,1,1
10,3,29,0.2,0.6,1,0,0,1,0,0
10,4,0,0,0.1,3,0,0,3,0,0
10,4,1,0,0.1,3,0,0,3,0,0
10,4,2,0,0.1,3,0,0,3,0,0
10,4,3,0,0.1,3,150,1,3,1,1
10,4,4,0,0.1,3,0,0,3,0,0
10,4,5,0,0.1,1,150,1,1,1,1
10,4,6,0,0.1,1,150,0,1,1,1
10,4,7,0,0.1,1,0,0,1,0,0
10,4,8,0,0.1,1,0,0,1,0,0
10,4,9,0,0.1,1,0,0,1,0,0
10,4,10,0,0.1,0,0,0,0,0,0
10,4,11,0,0.1,2,150,1,2,1,1
10,4,12,0,0.1,2,0,0,2,0,0
10,4,13,0,0.1,1,0,0,1,0,0
10,4,14,0,0.1,2,0,0,2,0,0
10,4,15,0,0.1,2,0,0,2,0,0
10,4,16,0,0.1,2,0,0,2,0,0
10,4,17,0,0.1,1,0,0,1,0,0
10,4,18,0,0.1,0,0,0,0,0,0
10,4,19,0,0.1,1,150,1,1,1,1
10,4,20,0,0.1,1,0,0,1,0,0
10,4,21,0,0.1,1,0,0,1,0,0
10,4,22,0,0.1,0,0,0,0,0,0
10,4,23,0,0.1,0,150,1,0,1,1
10,4,24,0,0.1,1,0,0,1,0,0
10,4,25,0,0.1,1,150,0,1,1,1
10,4,26,0,0.1,0,0,0,0,0,0
10,4,27,0,0.1,0,0,0,0,0,0
10,4,28,0,0.1,0,0,0,0,0,0
10,4,29,0,0.1,0,150,1,0,1,1
124153,1,0,0.34,0.33,3,150,0,3,1,1
124153,1,1,0.34,0.33,3,150,0,3,1,1
124153,1,2,0.34,0.33,3,0,0,3,0,0
124153,1,3,0.34,0.33,3,150,0,3,1,1
124153,1,4,0.34,0.33,3,150,1,3,1,1
124153,1,5,0.34,0.33,1,0,0,1,0,0
124153,1,6,0.34,0.33,2,0,0,2,0,0
124153,1,7,0.34,0.33,2,0,0,2,0,0
124153,1,8,0.34,0.33,3,150,1,3,1,1
124153,1,9,0.34,0.33,3,0,0,3,0,0
124153,1,10,0.34,0.33,3,0,0,3,0,0
124153,1,11,0.34,0.33,0,150,1,0,1,1
124153,1,12,0.34,0.33,0,0,0,0,0,0
124153,1,13,0.34,0.33,0,0,0,0,0,0
124153,1,14,0.34,0.33,0,0,0,0,0,0
124153,1,15,0.34,0.33,0,150,1,0,1,1
124153,1,16,0.34,0.33,0,0,0,0,0,0
124153,1,17,0.34,0.33,0,0,0,0,0,0
124153,1,18,0.34,0.33,0,0,0,0,0,0
124153,1,19,0.34,0.33,0,0,0,0,0,0
124153,1,20,0.34,0.33,0,0,0,0,0,0
124153,1,21,0.34,0.33,0,150,1,0,1,1
124153,1,22,0.34,0.33,0,0,0,0,0,0
124153,1,23,0.34,0.33,0,0,0,0,0,0
124153,1,24,0.34,0.33,3,0,0,3,0,0
124153,1,25,0.34,0.33,3,0,0,3,0,0
124153,1,26,0.34,0.33,0,0,0,0,0,0
124153,1,27,0.34,0.33,0,150,1,0,1,1
124153,1,28,0.34,0.33,0,0,0,0,0,0
124153,1,29,0.34,0.33,0,0,0,0,0,0
124153,2,0,0.8,0,3,0,0,3,0,0
124153,2,1,0.8,0,3,150,0,3,1,1
124153,2,2,0.8,0,3,150,0,3,1,1
124153,2,3,0.8,0,3,150,1,3,1,1
124153,2,4,0.8,0,3,150,0,3,1,1
124153,2,5,0.8,0,1,0,0,1,0,0
124153,2,6,0.8,0,1,0,0,1,0,0
124153,2,7,0.8,0,0,0,0,0,0,0
124153,2,8,0.8,0,3,150,0,3,1,1
124153,2,9,0.8,0,3,150,1,3,1,1
124153,2,10,0.8,0,2,0,0,2,0,0
124153,2,11,0.8,0,3,150,0,3,1,1
124153,2,12,0.8,0,3,0,1,3,0,0
124153,2,13,0.8,0,3,150,0,3,1,1
124153,2,14,0.8,0,3,0,0,3,0,0
124153,2,15,0.8,0,0,0,0,0,0,0
124153,2,16,0.8,0,0,150,1,0,1,1
124153,2,17,0.8,0,0,0,0,0,0,0
124153,2,18,0.8,0,0,0,0,0,0,0
124153,2,19,0.8,0,0,0,0,0,0,0
124153,2,20,0.8,0,0,150,1,0,1,1
124153,2,21,0.8,0,0,0,0,0,0,0
124153,2,22,0.8,0,0,0,0,0,0,0
124153,2,23,0.8,0,0,0,0,0,0,0
124153,2,24,0.8,0,0,0,0,0,0,0
124153,2,25,0.8,0,0,0,0,0,0,0
124153,2,26,0.8,0,0,0,0,0,0,0
124153,2,27,0.8,0,0,0,0,0,0,0
124153,2,28,0.8,0,0,150,1,0,1,1
124153,2,29,0.8,0,0,0,0,0,0,0
124153,3,0,0.3,0.7,3,150,1,3,1,1
124153,3,1,0.3,0.7,3,150,0,3,1,1
124153,3,2,0.3,0.7,3,150,0,3,1,1
124153,3,3,0.3,0.7,3,150,0,3,1,1
124153,3,4,0.3,0.7,3,150,0,3,1,1
124153,3,5,0.3,0.7,1,0,0,1,0,0
124153,3,6,0.3,0.7,1,150,0,1,1,1
124153,3,7,0.3,0.7,1,150,0,1,1,1
124153,3,8,0.3,0.7,1,150,0,1,1,1
124153,3,9,0.3,0.7,1,150,1,1,1,1
124153,3,10,0.3,0.7,1,150,0,1,1,1
124153,3,11,0.3,0.7,1,0,0,1,0,0
124153,3,12,0.3,0.7,1,150,0,1,1,1
124153,3,13,0.3,0.7,1,150,1,1,1,1
124153,3,14,0.3,0.7,1,150,0,1,1,1
124153,3,15,0.3,0.7,1,0,0,1,0,0
124153,3,16,0.3,0.7,1,150,0,1,1,1
124153,3,17,0.3,0.7,1,150,0,1,1,1
124153,3,18,0.3,0.7,1,150,0,1,1,1
124153,3,19,0.3,0.7,1,150,1,1,1,1
124153,3,20,0.3,0.7,1,0,0,1,0,0
124153,3,21,0.3,0.7,1,150,1,1,1,1
