id,block,trials,c_elastic,c_inelastic,total_actions,trial_reward,ss_transition,num_tries,rewarded,Reward
6295c814983374f0c2db15ec,1,0,0.34,0.33,3,150,1,3,1,1
6295c814983374f0c2db15ec,1,1,0.34,0.33,3,0,0,3,0,0
6295c814983374f0c2db15ec,1,2,0.34,0.33,3,150,0,3,1,1
6295c814983374f0c2db15ec,1,3,0.34,0.33,3,0,0,3,0,0
6295c814983374f0c2db15ec,1,4,0.34,0.33,3,150,0,3,1,1
6295c814983374f0c2db15ec,1,5,0.34,0.33,2,150,0,2,1,1
6295c814983374f0c2db15ec,1,6,0.34,0.33,2,150,1,2,1,1
6295c814983374f0c2db15ec,1,7,0.34,0.33,2,0,0,2,0,0
6295c814983374f0c2db15ec,1,8,0.34,0.33,2,0,0,2,0,0
6295c814983374f0c2db15ec,1,9,0.34,0.33,2,150,0,2,1,1
6295c814983374f0c2db15ec,1,10,0.34,0.33,2,150,1,2,1,1
6295c814983374f0c2db15ec,1,11,0.34,0.33,2,150,0,2,1,1
6295c814983374f0c2db15ec,1,12,0.34,0.33,2,150,0,2,1,1
6295c814983374f0c2db15ec,1,13,0.34,0.33,2,0,0,2,0,0
6295c814983374f0c2db15ec,1,14,0.34,0.33,2,150,0,2,1,1
6295c814983374f0c2db15ec,1,15,0.34,0.33,2,0,0,2,0,0
6295c814983374f0c2db15ec,1,16,0.34,0.33,2,150,1,2,1,1
6295c814983374f0c2db15ec,1,17,0.34,0.33,2,0,0,2,0,0
6295c814983374f0c2db15ec,1,18,0.34,0.33,2,150,0,2,1,1
6295c814983374f0c2db15ec,1,19,0.34,0.33,2,0,0,2,0,0
6295c814983374f0c2db15ec,1,20,0.34,0.33,2,150,1,2,1,1
6295c814983374f0c2db15ec,1,21,0.34,0.33,2,0,0,2,0,0
6295c814983374f0c2db15ec,1,22,0.34,0.33,2,150,0,2,1,1
6295c814983374f0c2db15ec,1,23,0.34,0.33,2,150,0,2,1,1
6295c814983374f0c2db15ec,1,24,0.34,0.33,2,0,0,2,0,0
6295c814983374f0c2db15ec,1,25,0.34,0.33,2,150,1,2,1,1
6295c814983374f0c2db15ec,1,26,0.34,0.33,2,150,0,2,1,1
