participant,block,trials,c_elastic,c_inelastic,total_actions,trial_reward,ss_transition,num_tries,rewarded,Reward,participant_id
10,6,0,0.34,0.33,3,150,0,3,1,1,10
10,6,1,0.34,0.33,3,150,0,3,1,1,10
10,6,2,0.34,0.33,3,0,0,3,0,0,10
10,6,3,0.34,0.33,3,150,0,3,1,1,10
10,6,4,0.34,0.33,3,150,1,3,1,1,10
10,6,5,0.34,0.33,0,0,0,0,0,0,10
10,6,6,0.34,0.33,0,0,0,0,0,0,10
10,6,7,0.34,0.33,1,0,0,1,0,0,10
10,6,8,0.34,0.33,3,150,0,3,1,1,10
10,6,9,0.34,0.33,0,150,1,0,1,1,10
10,6,10,0.34,0.33,0,0,0,0,0,0,10
10,6,11,0.34,0.33,2,150,0,2,1,1,10
10,6,12,0.34,0.33,2,150,0,2,1,1,10
10,6,13,0.34,0.33,2,150,1,2,1,1,10
10,6,14,0.34,0.33,2,150,0,2,1,1,10
10,6,15,0.34,0.33,2,0,0,2,0,0,10
10,6,16,0.34,0.33,2,0,0,2,0,0,10
10,6,17,0.34,0.33,0,0,0,0,0,0,10
10,6,18,0.34,0.33,0,150,1,0,1,1,10
10,6,19,0.34,0.33,1,0,0,1,0,0,10
10,6,20,0.34,0.33,2,150,0,2,1,1,10
10,6,21,0.34,0.33,2,0,0,2,0,0,10
10,6,22,0.34,0.33,2,150,1,2,1,1,10
10,6,23,0.34,0.33,0,0,0,0,0,0,10
10,6,24,0.34,0.33,2,0,0,2,0,0,10
10,6,25,0.34,0.33,2,0,0,2,0,0,10
10,6,26,0.34,0.33,2,150,0,2,1,1,10
10,6,27,0.34,0.33,0,0,0,0,0,0,10
10,6,28,0.34,0.33,0,0,0,0,0,0,10
10,6,29,0.34,0.33,0,150,1,0,1,1,10
10,7,0,0.4,0.6,3,150,0,3,1,1,10
10,7,1,0.4,0.6,3,150,0,3,1,1,10
10,7,2,0.4,0.6,3,150,0,3,1,1,10
10,7,3,0.4,0.6,3,150,0,3,1,1,10
10,7,4,0.4,0.6,3,150,1,3,1,1,10
10,7,5,0.4,0.6,0,0,0,0,0,0,10
10,7,6,0.4,0.6,1,0,0,1,0,0,10
10,7,7,0.4,0.6,2,150,1,2,1,1,10
10,7,8,0.4,0.6,2,150,0,2,1,1,10
10,7,9,0.4,0.6,2,150,0,2,1,1,10
10,7,10,0.4,0.6,2,0,0,2,0,0,10
10,7,11,0.4,0.6,2,150,0,2,1,1,10
10,7,12,0.4,0.6,2,150,0,2,1,1,10
10,7,13,0.4,0.6,2,150,0,2,1,1,10
10,7,14,0.4,0.6,2,150,1,2,1,1,10
10,7,15,0.4,0.6,2,150,0,2,1,1,10
10,7,16,0.4,0.6,2,0,0,2,0,0,10
10,7,17,0.4,0.6,2,150,1,2,1,1,10
10,7,18,0.4,0.6,2,150,0,2,1,1,10
10,7,19,0.4,0.6,2,150,0,2,1,1,10
10,7,20,0.4,0.6,2,0,0,2,0,0,10
10,7,21,0.4,0.6,2,150,0,2,1,1,10
10,7,22,0.4,0.6,2,150,1,2,1,1,10
10,7,23,0.4,0.6,2,150,0,2,1,1,10
10,7,24,0.4,0.6,2,150,0,2,1,1,10
10,7,25,0.4,0.6,2,150,0,2,1,1,10
10,7,26,0.4,0.6,2,150,0,2,1,1,10
